Temperature [°C],Mole fraction of liquid,Mole percent of Ag in FCC_A1,Mole percent of Ag in HCP_A3,Molar volume of LIQUID,Mole percent of Ag in LIQUID,Temperature [K],Temp (cels),Solid comp. (at% Ag),Mole frac. Liquid,Liquid comp. (at% Ag),k,V_m liq.,V frac liq,V_m FCC,V frac sol,VmL-VmS,delta V norm by VL
629.292,1,,,1.12366E-05,10,902.442,629.292,3.956762094,1,10,0.395676209,1.12366E-05,1,1.05294E-05,0,7.07214E-07,0.062938491
629.292,1,,,1.12366E-05,10,902.442,629.292,3.955542781,0.999862907,10.00082876,0.395521499,1.12364E-05,0.999875316,1.05294E-05,0.000135787,7.07074E-07,0.062926862
629.292,1,3.956762094,,1.12366E-05,10,902.442,629.292,3.967280041,0.994262087,10.03481661,0.395351524,1.12361E-05,0.994308155,1.05294E-05,0.005683257,7.06693E-07,0.062895073
629.199,0.999862907,3.955542781,,1.12364E-05,10.00082876,902.349,629.199,3.979017145,0.988712002,10.06881053,0.395182443,1.12357E-05,0.988791341,1.05293E-05,0.011180584,7.06415E-07,0.06287249
629.099,0.994262087,3.967280041,,1.12361E-05,10.03481661,902.249,629.099,3.990754153,0.983212024,10.1028105,0.395014254,1.12353E-05,0.983324253,1.05291E-05,0.016628424,7.0616E-07,0.062851875
628.999,0.988712002,3.979017145,,1.12357E-05,10.06881053,902.149,628.999,4.002491121,0.977761534,10.13681647,0.394846956,1.12349E-05,0.977906275,1.0529E-05,0.022027374,7.05904E-07,0.062831271
628.899,0.983212024,3.990754153,,1.12353E-05,10.1028105,902.049,628.899,4.014228108,0.972359923,10.1708284,0.394680546,1.12345E-05,0.972536804,1.05289E-05,0.027378038,7.05649E-07,0.062810678
628.799,0.977761534,4.002491121,,1.12349E-05,10.13681647,901.949,628.799,4.025965171,0.96700659,10.20484627,0.394515024,1.12342E-05,0.967215243,1.05288E-05,0.032681008,7.05394E-07,0.062790097
628.699,0.972359923,4.014228108,,1.12345E-05,10.1708284,901.849,628.699,4.037702369,0.961700945,10.23887002,0.394350388,1.12338E-05,0.961941009,1.05286E-05,0.037936867,7.05139E-07,0.062769526
628.599,0.96700659,4.025965171,,1.12342E-05,10.20484627,901.749,628.599,4.04943976,0.956442406,10.27289963,0.394186637,1.12334E-05,0.956713523,1.05285E-05,0.043146191,7.04884E-07,0.062748967
